18-apr-2025;;;;;;;;;;
iShares Global Aerospace & Defence UCITS ETF;;;;;;;;;;
Inception Date;01/02/2024;;;;;;;;;
Fund Holdings as of;18/04/2025;;;;;;;;;
Number of Securities;58,00;;;;;;;;;
Shares Outstanding;63.529.500,00;;;;;;;;;
;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Valuta di mercato
079550.KS;LIG NEX1 LTD;Industriali;Azionario;592.242,50;0,14;592.242,50;2.923,00;202,61;Corea;KRW
272210.KS;HANWHA SYSTEMS LTD;Industriali;Azionario;534.146,02;0,13;534.146,02;19.610,00;27,24;Corea;KRW
-;TRIUMPH GROUP INC;Industriali;Azionario;505.880,70;0,12;505.880,70;20.481,00;24,70;Stati Uniti;USD
AIR;AAR CORP;Industriali;Azionario;488.386,88;0,12;488.386,88;9.248,00;52,81;Stati Uniti;USD
;GBP CASH;Liquidità e/o derivati;Contanti;415.263,45;0,10;415.263,45;313.797,00;132,33;Regno unito;GBP
LOAR;LOAR HOLDINGS INC;Industriali;Azionario;394.384,52;0,09;394.384,52;4.636,00;85,07;Stati Uniti;USD
CDRE;EUR CASH;Liquidità e/o derivati;Contanti;257.415,27;0,06;257.415,27;226.788,00;113,50;Unione Europea;EUR
DCO;CADRE HOLDINGS INC;Industriali;Azionario;214.595,94;0,05;214.595,94;6.981,00;30,74;Stati Uniti;USD
-;USD CASH;Liquidità e/o derivati;Contanti;206.095,10;0,05;206.095,10;206.095,00;100,00;Stati Uniti;USD
VVX;DUCOMMUN INC;Industriali;Azionario;206.080,60;0,05;206.080,60;3.641,00;56,60;Stati Uniti;USD
9348.T;DRONESHIELD LTD;Industriali;Azionario;176.640,06;0,04;176.640,06;241.244,00;0,73;Australia;AUD
;V2X INC;Industriali;Azionario;153.141,12;0,04;153.141,12;3.168,00;48,34;Stati Uniti;USD
-;NOK CASH;Liquidità e/o derivati;Contanti;94.207,33;0,02;94.207,33;989.012,00;9,53;Norvegia;NOK
-;ISPACE INC;Industriali;Azionario;85.460,55;0,02;85.460,55;14.100,00;6,06;Giappone;JPY
-;CASH COLLATERAL USD MLIFT;Liquidità e/o derivati;Cash Collateral and Margins;82.000,00;0,02;82.000,00;82.000,00;100,00;Stati Uniti;USD
-;SATREC INITIATIVE LTD;Industriali;Azionario;50.054,20;0,01;50.054,20;1.629,00;30,73;Corea;KRW
-;KRW CASH;Liquidità e/o derivati;Contanti;34.320,94;0,01;34.320,94;48.699.700,00;0,07;Corea;KRW
-;SEK CASH;Liquidità e/o derivati;Contanti;25.710,17;0,01;25.710,17;247.951,00;10,37;Svezia;SEK
-;ILS CASH;Liquidità e/o derivati;Contanti;21.259,78;0,01;21.259,78;78.376,00;27,13;Israele;ILS
-;CAD CASH;Liquidità e/o derivati;Contanti;20.507,86;0,00;20.507,86;28.458,00;72,06;Canada;CAD
-;SGD CASH;Liquidità e/o derivati;Contanti;13.519,77;0,00;13.519,77;17.741,00;76,21;Singapore;SGD
-;AUD CASH;Liquidità e/o derivati;Contanti;7.213,45;0,00;7.213,45;11.329,00;63,67;Australia;AUD
-;JPY CASH;Liquidità e/o derivati;Contanti;2.850,14;0,00;2.850,14;405.347,00;0,70;Giappone;JPY
-;STOXX 600 INDUS JUN 25;Liquidità e/o derivati;Futures;0,00;0,00;446.925,94;9,00;993,17;Unione Europea;EUR
-;XAI INDUSTRIAL JUN 25;Liquidità e/o derivati;Futures;0,00;0,00;634.950,00;5,00;1.269,90;--;USD
-;NOK/USD;Liquidità e/o derivati;FX;-662,51;0,00;-662,51;-812.748,00;1,00;Stati Uniti;USD
-;FUTURES EUR MARGIN BALANCE;Liquidità e/o derivati;Cash Collateral and Margins;-1.933,58;0,00;-1.933,58;-1.704,00;113,50;Unione Europea;EUR
NOKUSD;;;;;;;;;;
